jobset,unit_id,coder_id,status,variable,value,time_question,time_answer
All,id,111,DONE,welcome,d092684ef27f9750a581238a93ddc8d718ad2454,2023-11-07T17:45:44.547Z,2023-11-07T17:45:47.795Z
All,id,112,DONE,welcome,3799589a5005a5596d0a6fa50956b9fa25f0f8d4,2023-11-08T02:02:04.073Z,2023-11-08T02:02:25.468Z
All,id,113,DONE,welcome,4db9d4ca4cd60475b44e1c4175a0025ed55ec306,2023-11-09T05:10:19.865Z,2023-11-09T05:10:33.589Z
All,1017,113,DONE,relevant-1,Yes,2023-11-09T05:10:36.992Z,2023-11-09T05:10:59.976Z
All,1017,113,DONE,relevant-2,something else,2023-11-09T05:11:00.700Z,2023-11-09T05:11:33.777Z
All,1017,113,DONE,relevant-3,IRRELEVANT,,
All,8952,113,DONE,relevant-1,Yes,2023-11-09T05:11:35.027Z,2023-11-09T05:12:03.659Z
All,8952,113,DONE,relevant-2,Empirical study,2023-11-09T05:12:04.280Z,2023-11-09T05:12:26.390Z
All,8952,113,DONE,relevant-3,No (or unclear),2023-11-09T05:12:26.762Z,2023-11-09T05:12:37.231Z
All,id,115,DONE,welcome,520f5fbc2d634056326b47a5f15c441985450fd3,2023-11-14T07:43:25.268Z,2023-11-14T07:43:32.629Z
All,1017,115,DONE,relevant-1,Yes,2023-11-29T11:49:17.394Z,2023-11-29T11:49:31.244Z
All,1017,115,DONE,relevant-2,Methodological paper,2023-11-29T11:49:36.324Z,2023-11-29T11:50:36.781Z
All,1017,115,DONE,relevant-3,Yes,2023-11-29T11:50:37.009Z,2023-11-29T11:50:41.655Z
All,id,116,DONE,welcome,80dcaef28112e9e33f9cd07180f6d781db5df46e,2023-11-14T12:29:19.036Z,2023-11-14T12:29:29.390Z
All,1017,116,IN_PROGRESS,relevant-1,Yes,2023-11-14T12:29:30.991Z,2023-11-14T12:29:46.233Z
All,id,117,DONE,welcome,0574709bc2c40bb2e26b9bbbdb25c523f782c9a8,2023-11-14T15:01:00.052Z,2023-11-14T15:01:07.547Z
All,1017,117,IN_PROGRESS,relevant-1,Yes,2023-11-24T09:26:19.661Z,2023-11-24T09:27:23.090Z
All,1017,117,IN_PROGRESS,relevant-2,Methodological paper,2023-11-24T09:27:23.480Z,2023-11-24T09:27:28.444Z
All,id,118,DONE,welcome,80dcaef28112e9e33f9cd07180f6d781db5df46e,2023-11-14T18:56:44.596Z,2023-11-14T18:56:52.665Z
All,id,121,DONE,welcome,2242d2b59dd9b3ad171357171c7f27a9c96a829e,2023-11-15T09:20:04.778Z,2023-11-15T09:20:16.792Z
All,1017,121,IN_PROGRESS,relevant-1,Yes,2023-11-15T09:20:18.620Z,2023-11-15T09:20:47.363Z
All,id,96,DONE,welcome,e91a2895bda34ea7b42a8d6a70a2e003b31c5e9d,2023-11-15T13:19:37.946Z,2023-11-15T13:19:43.309Z
All,1017,96,DONE,relevant-1,Yes,2023-11-15T15:00:28.474Z,2023-11-15T15:06:55.679Z
All,1017,96,DONE,relevant-2,Methodological paper,2023-11-15T15:06:56.154Z,2023-11-15T15:07:11.831Z
All,1017,96,DONE,relevant-3,Yes,2023-11-15T15:07:12.071Z,2023-11-15T15:07:16.313Z
All,id,123,DONE,welcome,450cd062089f9211bfb51bcdeefe9a3a1107101b,2023-11-15T14:06:33.309Z,2023-11-15T14:07:04.153Z
All,1017,123,DONE,relevant-1,Yes,2023-11-15T14:07:06.686Z,2023-11-15T14:08:34.410Z
All,1017,123,DONE,relevant-2,Methodological paper,2023-11-15T14:08:34.992Z,2023-11-15T14:09:44.959Z
All,1017,123,DONE,relevant-3,Yes,2023-11-15T14:14:44.765Z,2023-11-15T14:15:36.682Z
All,8952,123,DONE,relevant-1,No (or unclear),2023-11-15T14:15:38.690Z,2023-11-15T14:17:27.531Z
All,8952,123,DONE,relevant-2,IRRELEVANT,,
All,8952,123,DONE,relevant-3,IRRELEVANT,,
All,4780,123,DONE,relevant-1,No (or unclear),2023-11-15T14:17:28.762Z,2023-11-15T14:18:30.965Z
All,4780,123,DONE,relevant-2,IRRELEVANT,,
All,4780,123,DONE,relevant-3,IRRELEVANT,,
All,12428,123,DONE,relevant-1,No (or unclear),2023-11-15T14:23:50.559Z,2023-11-15T14:24:28.785Z
All,12428,123,DONE,relevant-2,IRRELEVANT,,
All,12428,123,DONE,relevant-3,IRRELEVANT,,
All,11514,123,DONE,relevant-1,Yes,2023-11-15T14:24:30.018Z,2023-11-15T14:29:37.357Z
