unit_id,file,variable,human,result,url
14196,10.1080_10919392.2019.1654350.pdf,Q1_0_Tool-Mentioned,No (or unclear),No (unclear),https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q1_1_Tool-Name,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q1_2_Tool-Link,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q1_3_Tool-Reference,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q2_0_Tool-Mentioned,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q2_1_Tool-Name,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q2_2_Tool-Link,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q2_3_Tool-Reference,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q3_1_Approach,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
14196,10.1080_10919392.2019.1654350.pdf,Q3_2_Target-specific-Measurement,IRRELEVANT,IRRELEVANT,https://www.dropbox.com/scl/fi/cuk637epsbn7reuvj7epb/10.1080_10919392.2019.1654350.pdf?rlkey=cd72twqh1xqwo04eoh9fd3bjp&dl=1
